,precision,recall,f1-score,support
Agreement Date,0.6699029126213593,1.0,0.8023255813953488,69.0
Agreement Date-Answer,0.0,0.0,0.0,63.0
Anti-assignment,0.9122807017543859,0.9285714285714286,0.9203539823008849,56.0
Audit Rights,0.8571428571428571,0.9375,0.8955223880597015,32.0
Cap on Liability,0.8043478260869565,0.8809523809523809,0.8409090909090909,42.0
Document Name,1.0,1.0,1.0,47.0
Effective Date,0.5555555555555556,0.25862068965517243,0.35294117647058826,58.0
Effective Date-Answer,0.0,0.0,0.0,49.0
Exclusivity,0.625,0.6666666666666666,0.6451612903225806,30.0
Expiration Date,0.75,0.7377049180327869,0.743801652892562,61.0
Expiration Date-Answer,0.2483221476510067,0.9736842105263158,0.39572192513368987,38.0
Governing Law,0.984375,0.9692307692307692,0.9767441860465116,65.0
Insurance,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
License Grant,0.7777777777777778,0.7368421052631579,0.7567567567567568,38.0
Parties,1.0,1.0,1.0,76.0
Parties-Answer,0.9736842105263158,0.9866666666666667,0.9801324503311258,75.0
Post-termination Services,0.8076923076923077,0.7,0.75,30.0
Renewal Term,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0
Revenue-Profit Sharing,0.84,0.7,0.7636363636363637,30.0
Termination for Convenience,0.84375,0.9,0.8709677419354839,30.0
accuracy,0.7513171759747103,0.7513171759747103,0.7513171759747103,0.7513171759747103
macro avg,0.7204225993231848,0.7538219917782673,0.7211894072756361,949.0
weighted avg,0.7183865126362037,0.7513171759747103,0.7199868702414645,949.0
